model,dataset,timestamp
SVOR,boston,20251027_223222
SVOR,wine,20251027_223215
SVOR,car,20251027_223002
Linear-mlp-emd,Poker,20251027_205220
SVM,Poker,20251027_204747
SVM,Wine,20251027_204123
DecisionTree,Poker,20251027_204103
SVM,Car,20251027_204102
DecisionTree,Wine,20251027_204102
CLM,Wine,20251027_204101
CLM,Poker,20251027_204100
CLM,Car,20251027_204054
DecisionTree,Car,20251027_204052
Adjacent (MLP),Poker,20251027_193616
MLP (EMD),Poker,20251027_193535
CORN,Poker,20251027_193529
MLP,Poker,20251027_193528
POM (MLP),Poker,20251027_193502
Adjacent (Linear),Poker,20251027_193352
POM (Linear),Poker,20251027_193212
CORAL,Poker,20251027_193150
Adjacent (MLP),Wine,20251027_193017
Adjacent (Linear),Wine,20251027_192947
POM (MLP),Wine,20251027_192928
MLP (EMD),Wine,20251027_192927
CORN,Wine,20251027_192924
MLP,Wine,20251027_192916
POM (Linear),Wine,20251027_192901
CORAL,Wine,20251027_192801
Adjacent (MLP),Car,20251027_192718
POM (MLP),Car,20251027_192710
MLP (EMD),Car,20251027_192707
Adjacent (Linear),Car,20251027_192707
MLP,Car,20251027_192703
CORN,Car,20251027_192701
POM (Linear),Car,20251027_192656
CORAL,Car,20251027_192602
